Date,Open,High,Low,Close,Adj Close,Volume
1996-09-05,29.25,29.25,28.899999618530273,28.950000762939453,14.043911933898926,12500
1996-09-06,29.0,29.0,28.5,29.0,14.068163871765137,9300
1996-09-09,29.0,29.200000762939453,28.5,29.200000762939453,14.165189743041992,3600
1996-09-10,29.25,29.25,28.0,28.399999618530273,13.777099609375,5800
1996-09-11,28.25,29.0,28.25,29.0,14.068163871765137,1200
1996-09-12,28.5,28.5,28.450000762939453,28.450000762939453,13.80135726928711,1400
1996-09-13,28.399999618530273,28.5,28.0,28.299999237060547,13.728589057922363,2200
1996-09-16,28.0,28.0,27.75,28.0,13.58305549621582,500
1996-09-17,28.200000762939453,28.600000381469727,28.200000762939453,28.600000381469727,13.874123573303223,1000
1996-09-18,29.5,30.200000762939453,27.0,27.75,13.46177864074707,4700
1996-09-19,27.5,29.0,27.5,29.0,14.068163871765137,600
1996-09-20,27.149999618530273,28.700000762939453,27.149999618530273,28.549999237060547,13.84986686706543,700
1996-09-23,28.399999618530273,29.0,28.100000381469727,28.25,13.70433521270752,1000
1996-09-24,28.350000381469727,28.549999237060547,27.75,27.950000762939453,13.558801651000977,1400
1996-09-25,28.5,28.5,27.799999237060547,27.799999237060547,13.48603343963623,1800
1996-09-26,28.0,28.0,27.0,27.0,13.097946166992188,1500
1996-09-27,27.850000381469727,28.5,27.0,28.0,13.58305549621582,1800
1996-09-30,27.5,27.549999237060547,27.299999237060547,27.299999237060547,13.243476867675781,2100
1996-10-01,25.549999237060547,27.75,25.549999237060547,27.25,13.219223976135254,1200
1996-10-02,27.25,27.25,27.25,27.25,13.219223976135254,0
1996-10-03,26.649999618530273,27.5,26.649999618530273,27.5,13.34050178527832,2000
1996-10-04,26.950000762939453,27.0,26.950000762939453,27.0,13.097946166992188,200
1996-10-07,25.75,26.0,25.75,26.0,12.612836837768555,1500
1996-10-08,25.5,26.950000762939453,25.299999237060547,25.549999237060547,12.39454174041748,1700
1996-10-09,25.0,26.950000762939453,25.0,26.899999618530273,13.04943561553955,1600
1996-10-10,28.399999618530273,29.5,28.399999618530273,29.399999618530273,14.262208938598633,2300
1996-10-11,30.0,31.149999618530273,29.5,30.25,14.674549102783203,5700
1996-10-14,30.5,31.25,30.25,30.5,14.795829772949219,3200
1996-10-15,30.25,30.25,29.600000381469727,29.799999237060547,14.456250190734863,3300
1996-10-16,29.799999237060547,29.799999237060547,29.200000762939453,29.200000762939453,14.165189743041992,1900
1996-10-17,28.75,28.75,28.75,28.75,13.946885108947754,700
1996-10-18,30.0,30.0,30.0,30.0,14.553275108337402,600
1996-10-21,30.0,30.0,30.0,30.0,14.553275108337402,0
1996-10-22,29.0,29.899999618530273,29.0,29.350000381469727,14.237953186035156,3300
1996-10-23,31.75,32.0,30.799999237060547,31.700000762939453,15.377960205078125,7600
1996-10-24,31.0,32.150001525878906,31.0,31.399999618530273,15.232426643371582,2300
1996-10-25,32.0,32.0,31.0,31.0,15.038385391235352,600
1996-10-28,30.700000762939453,30.700000762939453,30.0,30.0,14.553275108337402,2000
1996-10-29,29.75,29.75,28.049999237060547,28.25,13.70433521270752,3700
1996-10-30,28.25,28.25,28.25,28.25,13.70433521270752,0
1996-10-31,27.25,28.0,27.049999237060547,27.350000381469727,13.267738342285156,400
1996-11-01,27.5,28.899999618530273,27.5,28.899999618530273,14.019658088684082,8900
1996-11-04,27.649999618530273,28.5,27.649999618530273,28.399999618530273,13.777099609375,600
1996-11-05,27.75,28.0,27.0,27.25,13.219223976135254,3500
1996-11-06,26.549999237060547,26.549999237060547,26.549999237060547,26.549999237060547,12.87964916229248,100
1996-11-07,27.0,27.0,27.0,27.0,13.097946166992188,200
1996-11-08,25.0,25.0,25.0,25.0,12.127730369567871,100
1996-11-11,25.0,25.0,25.0,25.0,12.127730369567871,0
1996-11-12,25.0,25.0,25.0,25.0,12.127730369567871,0
1996-11-13,27.049999237060547,27.049999237060547,27.0,27.049999237060547,13.122200012207031,400
1996-11-14,27.200000762939453,27.200000762939453,26.899999618530273,27.0,13.097946166992188,1300
1996-11-15,27.0,27.0,27.0,27.0,13.097946166992188,200
1996-11-18,27.25,28.0,27.25,28.0,13.58305549621582,800
1996-11-19,27.5,27.799999237060547,27.25,27.549999237060547,13.364755630493164,800
1996-11-20,29.0,29.700000762939453,27.75,27.75,13.46177864074707,300
1996-11-21,28.0,28.0,28.0,28.0,13.58305549621582,200
1996-11-22,26.399999618530273,27.649999618530273,26.399999618530273,27.649999618530273,13.413269996643066,500
1996-11-25,28.0,28.0,28.0,28.0,13.58305549621582,100
1996-11-26,26.100000381469727,26.600000381469727,26.100000381469727,26.600000381469727,12.903903007507324,600
1996-11-27,27.0,27.0,26.5,26.75,12.976670265197754,700
1996-11-28,26.0,26.0,25.5,26.0,12.612836837768555,2600
1996-11-29,26.0,27.0,26.0,27.0,13.097946166992188,200
1996-12-02,26.049999237060547,26.049999237060547,25.549999237060547,25.549999237060547,12.39454174041748,700
1996-12-03,26.0,26.0,25.649999618530273,25.649999618530273,12.443047523498535,300
1996-12-04,24.299999237060547,25.450000762939453,24.299999237060547,25.450000762939453,12.346030235290527,500
1996-12-05,24.75,25.549999237060547,24.75,25.5,12.37028694152832,1400
1996-12-06,25.049999237060547,26.950000762939453,25.049999237060547,26.950000762939453,13.073688507080078,500
1996-12-09,25.350000381469727,25.450000762939453,25.350000381469727,25.450000762939453,12.346030235290527,200
1996-12-10,25.0,26.399999618530273,25.0,25.649999618530273,12.443047523498535,700
1996-12-11,26.0,28.0,26.0,28.0,13.58305549621582,500
1996-12-12,26.75,27.0,26.5,26.5,12.855395317077637,900
1996-12-13,26.5,26.5,25.5,26.200000762939453,12.709861755371094,600
1996-12-16,27.0,27.25,26.75,27.0,13.097946166992188,1100
1996-12-17,27.0,28.0,26.799999237060547,28.0,13.58305549621582,1800
1996-12-18,28.0,30.0,28.0,29.25,14.189441680908203,500
1996-12-19,29.149999618530273,29.25,29.0,29.100000381469727,14.11667537689209,900
1996-12-20,30.5,30.5,29.950000762939453,30.049999237060547,14.57752799987793,2400
